song, artist, year
I WILL ALWAYS LOVE YOU, Whitney Houston, 1992
SAY MY NAME, Destiny's Child, 1999
MY HEART WILL GO ON, Celine Dion, 1997
CREEP, Radiohead, 1993
GENIE IN A BOTTLE, Christina Aguilera, 1999
UNDER THE BRIDGE, Red HOT Chili Peppers, 1992
BABY ONE MORE TIME, Britney Spears, 1998
TEARS IN HEAVEN, Eric Clapton, 1992
I SWEAR, All-4-One, 1994
ICE ICE BABY, Vanilla Ice, 1990
THE SIGN, Ace Of Base, 1994
HERO, Mariah Carey, 1993
I BELIEVE I CAN FLY, R. Kelly, 1996
NO SCRUBS, TLC, 1999
VOGUE, Madonna, 1990
NOVEMBER RAIN, Guns n' Roses, 1991
HEART SHAPED BOX, Nirvana, 1993
end, end ,end
